trajID,userID,start_poi,start_time,poi_sequence,end_poi,end_time
0,user_ben_parr,94,1255019139,94 963 67,67,1255060113
1,user_maia_bittner,745,1283721751,745 153 495,495,1283750026
2,user_micah_baldwin,56,1247684395,56 148 94 174,174,1247726307
3,user_micah_baldwin,836,1285094344,836 56 66 215,215,1285154869
4,user_matt_galligan,148,1276645019,148 94 174,174,1276673531
5,user_austin_bryan,153,1285193834,153 56 495,495,1285206577
6,user_susan_beebe,148,1273274572,148 3912 94,94,1273281853
7,user_sarah_cooley,94,1268343419,94 97 2110,2110,1268380850
8,user_adam_jackson,645,1270500519,645 880 1010,1010,1270501681
9,user_mario_sundar,67,1268458081,67 215 97,97,1268485530
10,user_esther_assaad,97,1268798135,97 174 67,67,1268822511
11,user_maya_baratz,67,1268334696,67 97 2110,2110,1268363808
12,user_caroline_mccarthy,67,1260270125,67 66 154,154,1260302058
13,user_eric_martinez,56,1268934224,56 745 495,495,1268963062
14,user_eric_martinez,8014,1269213255,8014 66 56,56,1269229687
15,user_adam_ostrow,154,1285797278,154 94 2170,2170,1285834582
16,user_jim_techfrog_alden,174,1268347307,174 97 2110,2110,1268364291
17,user_nathaniel_mcnamara,67,1280982018,67 215 66,66,1281018492
18,user_tina_hui,67,1268463828,67 889 97,97,1268483057
19,user_tina_hui,97,1268677298,97 215 67,67,1268697961
20,user_christine_ngo,67,1273574364,67 66 3902,3902,1273604794
21,user_tessa_horehled,2170,1243702822,2170 94 454 745,745,1243724221
22,user_tessa_horehled,153,1243983664,153 3912 8014,8014,1244012328
23,user_tessa_horehled,745,1250115978,745 94 2170,2170,1250148845
24,user_tessa_horehled,454,1256445893,454 836 7410,7410,1256462313
25,user_tessa_horehled,56,1276138143,56 745 495,495,1276144557
26,user_tara_hunt,97,1237419073,97 215 67,67,1237442263
27,user_kate_ritchie,11158,1282233088,11158 56 7410,7410,1282241364
28,user_kate_ritchie,7410,1284071933,7410 495 11158,11158,1284087715
29,user_kate_ritchie,495,1297037854,495 56 7410,7410,1297041394
30,user_david_riordan,836,1248823192,836 454 8014 154,154,1248843201
31,user_teresa_wu,66,1279908404,66 889 67,67,1279940002
32,user_robert_jones7,963,1275066900,963 94 56,56,1275094256
33,user_mario_anima,67,1237024769,67 963 97,97,1237065362
34,user_mario_anima,67,1268422779,67 97 2110,2110,1268447579
35,user_jill_hanner,454,1257729951,454 836 56,56,1257740571
