trajID,userID,start_poi,start_time,poi_sequence,end_poi,end_time
0,user_fred_wilson,69,1264132184,69 216 67,67,1264162520
1,user_fred_wilson,17,1266521457,17 154 416,416,1266537983
2,user_fred_wilson,17,1268756538,17 154 155 158,158,1268799844
3,user_fred_wilson,69,1274384948,69 67 66,66,1274431191
4,user_fred_wilson,215,1279635711,215 67 216,216,1279655683
5,user_ben_parr,645,1250122801,645 873 1013,1013,1250128286
6,user_ben_parr,94,1255019139,94 963 67,67,1255060113
7,user_maia_bittner,745,1283721751,745 153 495,495,1283750026
8,user_harj_taggar,1010,1267493861,1010 880 715,715,1267523718
9,user_harj_taggar,1258,1268264703,1258 1010 913,913,1268296084
10,user_harj_taggar,1013,1272851938,1013 604 737 299,299,1272861481
11,user_harj_taggar,1079,1273275632,1079 216 1013,1013,1273305341
12,user_robert_scoble,2110,1268529259,2110 1894 2115,2115,1268553485
13,user_eric_wu,67,1284769527,67 2574 2576,2576,1284811773
14,user_kevin_palmer,215,1278738128,215 67 2215,2215,1278757613
15,user_bijan_sabet,299,1249493248,299 67 1450,1450,1249523999
16,user_bijan_sabet,11,1252515881,11 3277 94,94,1252550529
17,user_bijan_sabet,1450,1256135381,1450 540 148,148,1256163647
18,user_bijan_sabet,277,1267046072,277 436 56,56,1267075290
19,user_bijan_sabet,1450,1267721166,1450 3377 540,540,1267730737
20,user_bijan_sabet,1450,1272551339,1450 540 436,436,1272587759
21,user_mark_g,3498,1253309759,3498 135 436,436,1253341776
22,user_mark_g,604,1253740445,604 216 67 66,66,1253777927
23,user_mark_g,11,1254355031,11 3498 135,135,1254364501
24,user_mark_g,153,1254429738,153 3498 3671,3671,1254435132
25,user_mark_g,11,1254769677,11 3498 3849,3849,1254790583
26,user_mark_g,11,1255112727,11 3498 3890,3890,1255147978
27,user_mark_g,11,1255372145,11 3498 158,158,1255406784
28,user_mark_g,4015,1256323839,4015 11 3498 153 83 158,158,1256372180
29,user_mark_g,11,1257191256,11 3671 277 127 3498,3498,1257218486
30,user_mark_g,436,1257538369,436 83 3498 127,127,1257557399
31,user_mark_g,11,1257796498,11 3498 127,127,1257824051
32,user_mark_g,604,1258069455,604 299 67 66 3498,3498,1258111886
33,user_mark_g,540,1258411742,540 3498 158,158,1258437526
34,user_mark_g,158,1258658719,158 11 127 3498,3498,1258679140
35,user_mark_g,135,1258759991,135 520 3498 127,127,1258780060
36,user_mark_g,83,1258919136,83 3498 17 135 153 158,158,1258953777
37,user_mark_g,11,1259006759,11 127 3498 158,158,1259043285
38,user_mark_g,127,1259355194,127 158 3549 520 3498 4015,4015,1259377705
39,user_mark_g,135,1259433768,135 158 3498 127 4015 83,83,1259456985
40,user_mark_g,11,1259612501,11 3498 153 158,158,1259655042
41,user_mark_g,127,1259726330,127 135 2525,2525,1259726396
42,user_mark_g,11,1259879722,11 127 3671 520,520,1259914060
43,user_mark_g,158,1260047351,158 3498 4015 127,127,1260047475
44,user_mark_g,158,1260592004,158 127 3871 3498,3498,1260622102
45,user_mark_g,495,1260738105,495 17 127 3976,3976,1260755505
46,user_mark_g,11,1260822381,11 3498 158 520,520,1260875134
47,user_mark_g,83,1261076712,83 11 3498,3498,1261095647
48,user_mark_g,127,1261360842,127 3498 520,520,1261368572
49,user_mark_g,11,1262634801,11 153 158,158,1262660213
50,user_mark_g,889,1262932782,889 66 158 3498,3498,1262939683
51,user_mark_g,83,1262978568,83 127 3498 158 3976,3976,1263033358
52,user_mark_g,153,1263236410,153 3849 127 454 158 2525,2525,1263289644
53,user_mark_g,11,1263500939,11 83 3939 158,158,1263540383
54,user_mark_g,3498,1263605997,3498 3660 502 520,520,1263643863
55,user_mark_g,158,1263795344,158 3498 3912 83,83,1263807984
56,user_mark_g,3660,1263850352,3660 153 135 158 127,127,1263878326
57,user_mark_g,127,1264110352,127 3498 436 83,83,1264144241
58,user_mark_g,11,1264199241,11 3498 127 158,158,1264227125
59,user_mark_g,11,1264476333,11 127 158,158,1264483477
60,user_mark_g,83,1264975544,83 135 3498,3498,1264989657
61,user_mark_g,11,1265054514,11 3498 3902 3671,3671,1265080387
62,user_mark_g,3862,1265148671,3862 3498 745,745,1265161542
