poiID,poiCat,poiLon,poiLat
3976,Shops:Department Store,139.7029051,35.6913487
41704,Travel:Train Station:Train,132.1497667,34.16480099
52069,College & Education:Bookstore,126.9802978,37.5701623
67,Travel:Airport,-122.3861504,37.61637306
56,Food:Coffee Shop,-73.991431,40.7404
154,Travel:Subway,-73.99240494,40.74998796
215,Travel:Airport,-118.4029198,33.94417879
454,Travel:Train Station,-73.97708416,40.75304394
66,Travel:Airport,-73.78349304,40.64512192
495,Shops:Food & Drink:Grocery / Supermarket,-73.99116039,40.73493033
69750,College & Education:Academic Building,139.760288,35.71055471
94,Travel:Airport,-73.87192011,40.77430186
153,Shops:Technology,-74.005467,40.741161
963,Travel:Airport,-87.90384293,41.97783721
46899,Uncategorized,34.982056,32.220494
52327,Travel:Train Station,139.7002521,35.69096328
174,Travel:Airport:Food Court,-104.6737862,39.8499302
2170,Travel:Airport:Plane,-84.44063902,33.64063339
11158,Home / Work / Other:Gym / Fitness:Gym,-73.9793644,40.7844871
106039,Travel:Train Station:Train,37.6622057,55.75750051
16244,Uncategorized,-73.761059,40.720671
1450,Travel:Airport,-71.02154732,42.36831045
130969,Travel:Train Station:Train,139.7011614,35.65865615
857,Travel:Airport,-122.3026371,47.44370463
745,Parks & Outdoors:Other - Parks & Outdoor,-73.99045229,40.7358441
2110,Home / Work / Other:Convention Center,-97.73952484,30.26362651
148,Food:Burgers,-73.98841381,40.74125814
880,Food:Coffee Shop,-122.402018,37.789663
8014,Food:Burritos,-74.001246,40.742054
2807,Food:Coffee Shop,-87.634195,41.882073
3902,Home / Work / Other:Corporate / Office,-73.99559,40.763422
7410,Shops:Drug Store / Pharmacy,-73.977588,40.76354
54770,Travel:Highway / Traffic,34.94724224,31.88505429
1010,Travel:Train Station,-122.3948675,37.77664258
8639,Home / Work / Other:Corporate / Office:Coworking Space,-73.9936,40.7559
63073,Travel:Highway / Traffic,127.015548,37.510085
97,Travel:Airport,-97.66714811,30.2025773
7268,Food:Coffee Shop,-106.057065,39.633075
14458,Food:Coffee Shop,-93.388336,44.936704
6300,Travel:Subway,-73.99017334,40.70637619
889,Travel:Airport,-115.1500654,36.08536695
3414,Food:Tea Room,-71.0187909,42.3620661
16234,Travel:Bus Station,-73.990667,40.756977
47626,Nightlife:Karaoke,141.1186739,39.2793405
3912,Parks & Outdoors:Park,-73.98789883,40.74227424
1284,Great Outdoors:Parks,-122.4270638,37.7597548
29463,Home / Work / Other:Home,-122.874854,49.097265
69758,Travel:Train Station,139.7390985,35.62866326
645,College & Education:Stadium:Baseball,-122.3900557,37.77851667
836,Parks & Outdoors:Plaza / Square,-73.98360729,40.75375915
